chapter,chapter_num,chapter_title,section_num,section,section_title,brief_path,session_starter_path,section_tex,figure,table,listing,equation,diagnostic
ch02,2,A dense Transformer baseline from scratch,5,2.5,Training loop and sampling baseline,section_development_briefs/ch02/05-training-loop-and-sampling-baseline.md,session_starters/ch02/05-training-loop-and-sampling-baseline.md,latex_book_skeleton/chapters/ch02/sections/05-training-loop-and-sampling-baseline.tex,latex_book_skeleton/figures/ch02/fig-training-loop-and-sampling-baseline.tex,latex_book_skeleton/tables/ch02/tab-training-loop-and-sampling-baseline.tex,latex_book_skeleton/listings/ch02/lst-training-loop-and-sampling-baseline.tex,latex_book_skeleton/equations/ch02/eq-training-loop-and-sampling-baseline.tex,Track train and validation loss plus samples at fixed intervals.
ch02,2,A dense Transformer baseline from scratch,6,2.6,Baseline diagnostics and comparison slots,section_development_briefs/ch02/06-baseline-diagnostics-and-comparison-slots.md,session_starters/ch02/06-baseline-diagnostics-and-comparison-slots.md,latex_book_skeleton/chapters/ch02/sections/06-baseline-diagnostics-and-comparison-slots.tex,latex_book_skeleton/figures/ch02/fig-baseline-diagnostics-and-comparison-slots.tex,latex_book_skeleton/tables/ch02/tab-baseline-diagnostics-and-comparison-slots.tex,latex_book_skeleton/listings/ch02/lst-baseline-diagnostics-and-comparison-slots.tex,latex_book_skeleton/equations/ch02/eq-baseline-diagnostics-and-comparison-slots.tex,Write the first baseline row in the experiment comparison table.
ch03,3,"Experts, routers, and the first MoE layer",1,3.1,Expert MLPs as named FFNs,section_development_briefs/ch03/01-expert-mlps-as-named-ffns.md,session_starters/ch03/01-expert-mlps-as-named-ffns.md,latex_book_skeleton/chapters/ch03/sections/01-expert-mlps-as-named-ffns.tex,latex_book_skeleton/figures/ch03/fig-expert-mlps-as-named-ffns.tex,latex_book_skeleton/tables/ch03/tab-expert-mlps-as-named-ffns.tex,latex_book_skeleton/listings/ch03/lst-expert-mlps-as-named-ffns.tex,latex_book_skeleton/equations/ch03/eq-expert-mlps-as-named-ffns.tex,Run all experts on the same token and compare output shapes.
ch03,3,"Experts, routers, and the first MoE layer",2,3.2,Router scores and tensor shapes,section_development_briefs/ch03/02-router-scores-and-tensor-shapes.md,session_starters/ch03/02-router-scores-and-tensor-shapes.md,latex_book_skeleton/chapters/ch03/sections/02-router-scores-and-tensor-shapes.tex,latex_book_skeleton/figures/ch03/fig-router-scores-and-tensor-shapes.tex,latex_book_skeleton/tables/ch03/tab-router-scores-and-tensor-shapes.tex,latex_book_skeleton/listings/ch03/lst-router-scores-and-tensor-shapes.tex,latex_book_skeleton/equations/ch03/eq-router-scores-and-tensor-shapes.tex,Assert that the expert dimension equals n_experts and token dimension equals B*T.
ch03,3,"Experts, routers, and the first MoE layer",3,3.3,Top-k selection without dispatch,section_development_briefs/ch03/03-top-k-selection-without-dispatch.md,session_starters/ch03/03-top-k-selection-without-dispatch.md,latex_book_skeleton/chapters/ch03/sections/03-top-k-selection-without-dispatch.tex,latex_book_skeleton/figures/ch03/fig-top-k-selection-without-dispatch.tex,latex_book_skeleton/tables/ch03/tab-top-k-selection-without-dispatch.tex,latex_book_skeleton/listings/ch03/lst-top-k-selection-without-dispatch.tex,latex_book_skeleton/equations/ch03/eq-top-k-selection-without-dispatch.tex,Verify that every token has exactly K selected expert IDs.
ch03,3,"Experts, routers, and the first MoE layer",4,3.4,Naive token-by-token dispatch,section_development_briefs/ch03/04-naive-token-by-token-dispatch.md,session_starters/ch03/04-naive-token-by-token-dispatch.md,latex_book_skeleton/chapters/ch03/sections/04-naive-token-by-token-dispatch.tex,latex_book_skeleton/figures/ch03/fig-naive-token-by-token-dispatch.tex,latex_book_skeleton/tables/ch03/tab-naive-token-by-token-dispatch.tex,latex_book_skeleton/listings/ch03/lst-naive-token-by-token-dispatch.tex,latex_book_skeleton/equations/ch03/eq-naive-token-by-token-dispatch.tex,Compare output shape to dense FFN output and inspect gates per token.
ch03,3,"Experts, routers, and the first MoE layer",5,3.5,Shape and gradient checks,section_development_briefs/ch03/05-shape-and-gradient-checks.md,session_starters/ch03/05-shape-and-gradient-checks.md,latex_book_skeleton/chapters/ch03/sections/05-shape-and-gradient-checks.tex,latex_book_skeleton/figures/ch03/fig-shape-and-gradient-checks.tex,latex_book_skeleton/tables/ch03/tab-shape-and-gradient-checks.tex,latex_book_skeleton/listings/ch03/lst-shape-and-gradient-checks.tex,latex_book_skeleton/equations/ch03/eq-shape-and-gradient-checks.tex,Count selected expert IDs and check nonzero gradients for selected expert parameters.
ch03,3,"Experts, routers, and the first MoE layer",6,3.6,Chapter summary and handoff,section_development_briefs/ch03/06-chapter-summary-and-handoff.md,session_starters/ch03/06-chapter-summary-and-handoff.md,latex_book_skeleton/chapters/ch03/sections/06-chapter-summary-and-handoff.tex,latex_book_skeleton/figures/ch03/fig-chapter-summary-and-handoff.tex,latex_book_skeleton/tables/ch03/tab-chapter-summary-and-handoff.tex,latex_book_skeleton/listings/ch03/lst-chapter-summary-and-handoff.tex,latex_book_skeleton/equations/ch03/eq-chapter-summary-and-handoff.tex,"Reader checkpoint: identify where routing, expert computation, and combine happen in code."
ch04,4,Top-1 routing and Switch-style dispatch,1,4.1,Why top-1 routing is the simplest sparse case,section_development_briefs/ch04/01-why-top-1-routing-is-the-simplest-sparse-case.md,session_starters/ch04/01-why-top-1-routing-is-the-simplest-sparse-case.md,latex_book_skeleton/chapters/ch04/sections/01-why-top-1-routing-is-the-simplest-sparse-case.tex,latex_book_skeleton/figures/ch04/fig-why-top-1-routing-is-the-simplest-sparse-case.tex,latex_book_skeleton/tables/ch04/tab-why-top-1-routing-is-the-simplest-sparse-case.tex,latex_book_skeleton/listings/ch04/lst-why-top-1-routing-is-the-simplest-sparse-case.tex,latex_book_skeleton/equations/ch04/eq-why-top-1-routing-is-the-simplest-sparse-case.tex,Verify each token has one expert and one scalar gate.
ch04,4,Top-1 routing and Switch-style dispatch,2,4.2,Assignment masks and expert buckets,section_development_briefs/ch04/02-assignment-masks-and-expert-buckets.md,session_starters/ch04/02-assignment-masks-and-expert-buckets.md,latex_book_skeleton/chapters/ch04/sections/02-assignment-masks-and-expert-buckets.tex,latex_book_skeleton/figures/ch04/fig-assignment-masks-and-expert-buckets.tex,latex_book_skeleton/tables/ch04/tab-assignment-masks-and-expert-buckets.tex,latex_book_skeleton/listings/ch04/lst-assignment-masks-and-expert-buckets.tex,latex_book_skeleton/equations/ch04/eq-assignment-masks-and-expert-buckets.tex,Sum the mask across experts to confirm each token is assigned once.
ch04,4,Top-1 routing and Switch-style dispatch,3,4.3,Dispatching tokens to selected experts,section_development_briefs/ch04/03-dispatching-tokens-to-selected-experts.md,session_starters/ch04/03-dispatching-tokens-to-selected-experts.md,latex_book_skeleton/chapters/ch04/sections/03-dispatching-tokens-to-selected-experts.tex,latex_book_skeleton/figures/ch04/fig-dispatching-tokens-to-selected-experts.tex,latex_book_skeleton/tables/ch04/tab-dispatching-tokens-to-selected-experts.tex,latex_book_skeleton/listings/ch04/lst-dispatching-tokens-to-selected-experts.tex,latex_book_skeleton/equations/ch04/eq-dispatching-tokens-to-selected-experts.tex,Assert output rows return to the original token order.
ch04,4,Top-1 routing and Switch-style dispatch,4,4.4,Capacity and dropped tokens,section_development_briefs/ch04/04-capacity-and-dropped-tokens.md,session_starters/ch04/04-capacity-and-dropped-tokens.md,latex_book_skeleton/chapters/ch04/sections/04-capacity-and-dropped-tokens.tex,latex_book_skeleton/figures/ch04/fig-capacity-and-dropped-tokens.tex,latex_book_skeleton/tables/ch04/tab-capacity-and-dropped-tokens.tex,latex_book_skeleton/listings/ch04/lst-capacity-and-dropped-tokens.tex,latex_book_skeleton/equations/ch04/eq-capacity-and-dropped-tokens.tex,Report dropped_token_count and per-expert accepted counts.
ch04,4,Top-1 routing and Switch-style dispatch,5,4.5,Load histograms and failure modes,section_development_briefs/ch04/05-load-histograms-and-failure-modes.md,session_starters/ch04/05-load-histograms-and-failure-modes.md,latex_book_skeleton/chapters/ch04/sections/05-load-histograms-and-failure-modes.tex,latex_book_skeleton/figures/ch04/fig-load-histograms-and-failure-modes.tex,latex_book_skeleton/tables/ch04/tab-load-histograms-and-failure-modes.tex,latex_book_skeleton/listings/ch04/lst-load-histograms-and-failure-modes.tex,latex_book_skeleton/equations/ch04/eq-load-histograms-and-failure-modes.tex,Save a histogram and a warning if max load is much larger than average load.
ch04,4,Top-1 routing and Switch-style dispatch,6,4.6,Chapter summary and handoff,section_development_briefs/ch04/06-chapter-summary-and-handoff.md,session_starters/ch04/06-chapter-summary-and-handoff.md,latex_book_skeleton/chapters/ch04/sections/06-chapter-summary-and-handoff.tex,latex_book_skeleton/figures/ch04/fig-chapter-summary-and-handoff.tex,latex_book_skeleton/tables/ch04/tab-chapter-summary-and-handoff.tex,latex_book_skeleton/listings/ch04/lst-chapter-summary-and-handoff.tex,latex_book_skeleton/equations/ch04/eq-chapter-summary-and-handoff.tex,"Compare validation loss smoke run with dense baseline, without claiming quality superiority."
ch05,5,Top-2 routing and weighted expert combination,1,5.1,Why top-2 changes the routing story,section_development_briefs/ch05/01-why-top-2-changes-the-routing-story.md,session_starters/ch05/01-why-top-2-changes-the-routing-story.md,latex_book_skeleton/chapters/ch05/sections/01-why-top-2-changes-the-routing-story.tex,latex_book_skeleton/figures/ch05/fig-why-top-2-changes-the-routing-story.tex,latex_book_skeleton/tables/ch05/tab-why-top-2-changes-the-routing-story.tex,latex_book_skeleton/listings/ch05/lst-why-top-2-changes-the-routing-story.tex,latex_book_skeleton/equations/ch05/eq-why-top-2-changes-the-routing-story.tex,Compare active expert calls per token for K=1 and K=2.
ch05,5,Top-2 routing and weighted expert combination,2,5.2,Normalizing selected router scores,section_development_briefs/ch05/02-normalizing-selected-router-scores.md,session_starters/ch05/02-normalizing-selected-router-scores.md,latex_book_skeleton/chapters/ch05/sections/02-normalizing-selected-router-scores.tex,latex_book_skeleton/figures/ch05/fig-normalizing-selected-router-scores.tex,latex_book_skeleton/tables/ch05/tab-normalizing-selected-router-scores.tex,latex_book_skeleton/listings/ch05/lst-normalizing-selected-router-scores.tex,latex_book_skeleton/equations/ch05/eq-normalizing-selected-router-scores.tex,"Assert torch.allclose(gates.sum(-1), ones)."
ch05,5,Top-2 routing and weighted expert combination,3,5.3,Dispatch for two expert paths per token,section_development_briefs/ch05/03-dispatch-for-two-expert-paths-per-token.md,session_starters/ch05/03-dispatch-for-two-expert-paths-per-token.md,latex_book_skeleton/chapters/ch05/sections/03-dispatch-for-two-expert-paths-per-token.tex,latex_book_skeleton/figures/ch05/fig-dispatch-for-two-expert-paths-per-token.tex,latex_book_skeleton/tables/ch05/tab-dispatch-for-two-expert-paths-per-token.tex,latex_book_skeleton/listings/ch05/lst-dispatch-for-two-expert-paths-per-token.tex,latex_book_skeleton/equations/ch05/eq-dispatch-for-two-expert-paths-per-token.tex,Check output changes when gates are manually swapped.
ch05,5,Top-2 routing and weighted expert combination,4,5.4,Comparing top-1 and top-2 diagnostics,section_development_briefs/ch05/04-comparing-top-1-and-top-2-diagnostics.md,session_starters/ch05/04-comparing-top-1-and-top-2-diagnostics.md,latex_book_skeleton/chapters/ch05/sections/04-comparing-top-1-and-top-2-diagnostics.tex,latex_book_skeleton/figures/ch05/fig-comparing-top-1-and-top-2-diagnostics.tex,latex_book_skeleton/tables/ch05/tab-comparing-top-1-and-top-2-diagnostics.tex,latex_book_skeleton/listings/ch05/lst-comparing-top-1-and-top-2-diagnostics.tex,latex_book_skeleton/equations/ch05/eq-comparing-top-1-and-top-2-diagnostics.tex,Save a comparison table and one histogram per routing mode.
ch05,5,Top-2 routing and weighted expert combination,5,5.5,Numerical stability in top-k gates,section_development_briefs/ch05/05-numerical-stability-in-top-k-gates.md,session_starters/ch05/05-numerical-stability-in-top-k-gates.md,latex_book_skeleton/chapters/ch05/sections/05-numerical-stability-in-top-k-gates.tex,latex_book_skeleton/figures/ch05/fig-numerical-stability-in-top-k-gates.tex,latex_book_skeleton/tables/ch05/tab-numerical-stability-in-top-k-gates.tex,latex_book_skeleton/listings/ch05/lst-numerical-stability-in-top-k-gates.tex,latex_book_skeleton/equations/ch05/eq-numerical-stability-in-top-k-gates.tex,Unit tests for finite gates and gradients under small scores.
ch05,5,Top-2 routing and weighted expert combination,6,5.6,Chapter summary and handoff,section_development_briefs/ch05/06-chapter-summary-and-handoff.md,session_starters/ch05/06-chapter-summary-and-handoff.md,latex_book_skeleton/chapters/ch05/sections/06-chapter-summary-and-handoff.tex,latex_book_skeleton/figures/ch05/fig-chapter-summary-and-handoff.tex,latex_book_skeleton/tables/ch05/tab-chapter-summary-and-handoff.tex,latex_book_skeleton/listings/ch05/lst-chapter-summary-and-handoff.tex,latex_book_skeleton/equations/ch05/eq-chapter-summary-and-handoff.tex,Reader checkpoint: explain why gates sum to one after selecting top-k only.
ch06,6,"Vectorized dispatch, capacity, and routing efficiency",1,6.1,Flattened tokens as the dispatch unit,section_development_briefs/ch06/01-flattened-tokens-as-the-dispatch-unit.md,session_starters/ch06/01-flattened-tokens-as-the-dispatch-unit.md,latex_book_skeleton/chapters/ch06/sections/01-flattened-tokens-as-the-dispatch-unit.tex,latex_book_skeleton/figures/ch06/fig-flattened-tokens-as-the-dispatch-unit.tex,latex_book_skeleton/tables/ch06/tab-flattened-tokens-as-the-dispatch-unit.tex,latex_book_skeleton/listings/ch06/lst-flattened-tokens-as-the-dispatch-unit.tex,latex_book_skeleton/equations/ch06/eq-flattened-tokens-as-the-dispatch-unit.tex,Round-trip flatten/unflatten equality check.
ch06,6,"Vectorized dispatch, capacity, and routing efficiency",2,6.2,Expert batch construction,section_development_briefs/ch06/02-expert-batch-construction.md,session_starters/ch06/02-expert-batch-construction.md,latex_book_skeleton/chapters/ch06/sections/02-expert-batch-construction.tex,latex_book_skeleton/figures/ch06/fig-expert-batch-construction.tex,latex_book_skeleton/tables/ch06/tab-expert-batch-construction.tex,latex_book_skeleton/listings/ch06/lst-expert-batch-construction.tex,latex_book_skeleton/equations/ch06/eq-expert-batch-construction.tex,Ensure each accepted route has exactly one expert slot.
ch06,6,"Vectorized dispatch, capacity, and routing efficiency",3,6.3,Capacity factors and overflow policy,section_development_briefs/ch06/03-capacity-factors-and-overflow-policy.md,session_starters/ch06/03-capacity-factors-and-overflow-policy.md,latex_book_skeleton/chapters/ch06/sections/03-capacity-factors-and-overflow-policy.tex,latex_book_skeleton/figures/ch06/fig-capacity-factors-and-overflow-policy.tex,latex_book_skeleton/tables/ch06/tab-capacity-factors-and-overflow-policy.tex,latex_book_skeleton/listings/ch06/lst-capacity-factors-and-overflow-policy.tex,latex_book_skeleton/equations/ch06/eq-capacity-factors-and-overflow-policy.tex,Log overflow route count and overflow fraction.
ch06,6,"Vectorized dispatch, capacity, and routing efficiency",4,6.4,Unpacking and weighted combine,section_development_briefs/ch06/04-unpacking-and-weighted-combine.md,session_starters/ch06/04-unpacking-and-weighted-combine.md,latex_book_skeleton/chapters/ch06/sections/04-unpacking-and-weighted-combine.tex,latex_book_skeleton/figures/ch06/fig-unpacking-and-weighted-combine.tex,latex_book_skeleton/tables/ch06/tab-unpacking-and-weighted-combine.tex,latex_book_skeleton/listings/ch06/lst-unpacking-and-weighted-combine.tex,latex_book_skeleton/equations/ch06/eq-unpacking-and-weighted-combine.tex,Compare vectorized output to naive output when capacity is large enough for no overflow.
ch06,6,"Vectorized dispatch, capacity, and routing efficiency",5,6.5,Equivalence tests against the naive layer,section_development_briefs/ch06/05-equivalence-tests-against-the-naive-layer.md,session_starters/ch06/05-equivalence-tests-against-the-naive-layer.md,latex_book_skeleton/chapters/ch06/sections/05-equivalence-tests-against-the-naive-layer.tex,latex_book_skeleton/figures/ch06/fig-equivalence-tests-against-the-naive-layer.tex,latex_book_skeleton/tables/ch06/tab-equivalence-tests-against-the-naive-layer.tex,latex_book_skeleton/listings/ch06/lst-equivalence-tests-against-the-naive-layer.tex,latex_book_skeleton/equations/ch06/eq-equivalence-tests-against-the-naive-layer.tex,Fail if max_abs_diff exceeds tolerance in no-overflow settings.
ch06,6,"Vectorized dispatch, capacity, and routing efficiency",6,6.6,Chapter summary and handoff,section_development_briefs/ch06/06-chapter-summary-and-handoff.md,session_starters/ch06/06-chapter-summary-and-handoff.md,latex_book_skeleton/chapters/ch06/sections/06-chapter-summary-and-handoff.tex,latex_book_skeleton/figures/ch06/fig-chapter-summary-and-handoff.tex,latex_book_skeleton/tables/ch06/tab-chapter-summary-and-handoff.tex,latex_book_skeleton/listings/ch06/lst-chapter-summary-and-handoff.tex,latex_book_skeleton/equations/ch06/eq-chapter-summary-and-handoff.tex,Reader checkpoint: identify where dropped routes enter the output calculation.
ch07,7,Router training and load-balancing losses,1,7.1,Expert imbalance as a training problem,section_development_briefs/ch07/01-expert-imbalance-as-a-training-problem.md,session_starters/ch07/01-expert-imbalance-as-a-training-problem.md,latex_book_skeleton/chapters/ch07/sections/01-expert-imbalance-as-a-training-problem.tex,latex_book_skeleton/figures/ch07/fig-expert-imbalance-as-a-training-problem.tex,latex_book_skeleton/tables/ch07/tab-expert-imbalance-as-a-training-problem.tex,latex_book_skeleton/listings/ch07/lst-expert-imbalance-as-a-training-problem.tex,latex_book_skeleton/equations/ch07/eq-expert-imbalance-as-a-training-problem.tex,Report max_load/mean_load and number of empty experts.
ch07,7,Router training and load-balancing losses,2,7.2,Auxiliary load-balancing loss,section_development_briefs/ch07/02-auxiliary-load-balancing-loss.md,session_starters/ch07/02-auxiliary-load-balancing-loss.md,latex_book_skeleton/chapters/ch07/sections/02-auxiliary-load-balancing-loss.tex,latex_book_skeleton/figures/ch07/fig-auxiliary-load-balancing-loss.tex,latex_book_skeleton/tables/ch07/tab-auxiliary-load-balancing-loss.tex,latex_book_skeleton/listings/ch07/lst-auxiliary-load-balancing-loss.tex,latex_book_skeleton/equations/ch07/eq-auxiliary-load-balancing-loss.tex,Check loss is lower for balanced synthetic routing than collapsed routing.
ch07,7,Router training and load-balancing losses,3,7.3,Integrating auxiliary loss into training,section_development_briefs/ch07/03-integrating-auxiliary-loss-into-training.md,session_starters/ch07/03-integrating-auxiliary-loss-into-training.md,latex_book_skeleton/chapters/ch07/sections/03-integrating-auxiliary-loss-into-training.tex,latex_book_skeleton/figures/ch07/fig-integrating-auxiliary-loss-into-training.tex,latex_book_skeleton/tables/ch07/tab-integrating-auxiliary-loss-into-training.tex,latex_book_skeleton/listings/ch07/lst-integrating-auxiliary-loss-into-training.tex,latex_book_skeleton/equations/ch07/eq-integrating-auxiliary-loss-into-training.tex,Log individual losses separately so balancing cannot hide LM degradation.
ch07,7,Router training and load-balancing losses,4,7.4,Router score scale and z-loss,section_development_briefs/ch07/04-router-score-scale-and-z-loss.md,session_starters/ch07/04-router-score-scale-and-z-loss.md,latex_book_skeleton/chapters/ch07/sections/04-router-score-scale-and-z-loss.tex,latex_book_skeleton/figures/ch07/fig-router-score-scale-and-z-loss.tex,latex_book_skeleton/tables/ch07/tab-router-score-scale-and-z-loss.tex,latex_book_skeleton/listings/ch07/lst-router-score-scale-and-z-loss.tex,latex_book_skeleton/equations/ch07/eq-router-score-scale-and-z-loss.tex,"Track router score max, entropy, and z-loss over training."
ch07,7,Router training and load-balancing losses,5,7.5,Routing dashboards and training logs,section_development_briefs/ch07/05-routing-dashboards-and-training-logs.md,session_starters/ch07/05-routing-dashboards-and-training-logs.md,latex_book_skeleton/chapters/ch07/sections/05-routing-dashboards-and-training-logs.tex,latex_book_skeleton/figures/ch07/fig-routing-dashboards-and-training-logs.tex,latex_book_skeleton/tables/ch07/tab-routing-dashboards-and-training-logs.tex,latex_book_skeleton/listings/ch07/lst-routing-dashboards-and-training-logs.tex,latex_book_skeleton/equations/ch07/eq-routing-dashboards-and-training-logs.tex,Generate a dashboard PDF or image after a short smoke run.
ch07,7,Router training and load-balancing losses,6,7.6,Chapter summary and handoff,section_development_briefs/ch07/06-chapter-summary-and-handoff.md,session_starters/ch07/06-chapter-summary-and-handoff.md,latex_book_skeleton/chapters/ch07/sections/06-chapter-summary-and-handoff.tex,latex_book_skeleton/figures/ch07/fig-chapter-summary-and-handoff.tex,latex_book_skeleton/tables/ch07/tab-chapter-summary-and-handoff.tex,latex_book_skeleton/listings/ch07/lst-chapter-summary-and-handoff.tex,latex_book_skeleton/equations/ch07/eq-chapter-summary-and-handoff.tex,Reader checkpoint: explain why aux_loss must be logged separately from LM loss.
ch08,8,Shared experts and fine-grained routed experts,1,8.1,The role of shared experts,section_development_briefs/ch08/01-the-role-of-shared-experts.md,session_starters/ch08/01-the-role-of-shared-experts.md,latex_book_skeleton/chapters/ch08/sections/01-the-role-of-shared-experts.tex,latex_book_skeleton/figures/ch08/fig-the-role-of-shared-experts.tex,latex_book_skeleton/tables/ch08/tab-the-role-of-shared-experts.tex,latex_book_skeleton/listings/ch08/lst-the-role-of-shared-experts.tex,latex_book_skeleton/equations/ch08/eq-the-role-of-shared-experts.tex,"Verify shared experts receive gradients for every token, not only selected tokens."
